vehicle_id,time_id,location_id,acceleration,gyroscope,speed,vibration,event_type,severity
V104,1,1,-0.27005712681006644,0.3841142797118232,76.10874056757767,0.43379063914927635,normal,low
V123,2,2,-1.1864813387469832,0.11429906831155535,44.874084701226174,0.12567807139315307,normal,low
V116,3,3,-1.586699718653528,0.16284825556526897,65.66455843074502,0.1086843546005498,normal,low
V118,4,4,0.6551634097652032,-0.00554803361010989,72.36520321377023,0.21710575946642335,normal,low
V120,5,5,0.1318445649029247,-0.5034256334795106,55.46542330306598,0.24226667839039448,normal,low
V139,6,6,0.3874799984369955,-0.05377621944307364,53.18580711947122,0.1836784607839386,normal,low
V118,7,7,0.7345236140069414,0.4914696148926585,44.80561066026271,0.30705545717312693,normal,low
V131,8,8,1.4788921061761788,0.20264278814491649,42.70956530811216,0.16896748250908333,normal,low
V143,9,9,-0.5533337239460264,0.20205686516684015,24.811284511457256,0.3321696059598196,normal,low
V108,10,10,0.24932525999258387,0.01672076068295948,48.72132973790791,0.32497399509962965,normal,low
V142,11,11,-0.07730786710674363,-0.8030857575255107,34.64433891579548,0.08853407778948073,normal,low
V104,12,12,-0.01696734050587507,0.12249192634738544,47.051492145107225,0.05119772889870805,normal,low
V149,13,13,-0.6454199155198521,-0.20285233470626549,66.6400945216823,0.2272200201088293,normal,low
V129,14,14,1.7941044620855733,0.04230187398706417,60.654085153146674,0.2885345602011065,normal,low
V128,15,15,-0.25749966650238876,-0.22520734711048385,48.05153359284585,0.09508124896503974,normal,low
V132,16,16,-1.3071290401323417,0.0227928005206283,60.28093282225406,0.17354019144315483,normal,low
V101,17,17,0.23248604414788332,-0.0479536131142234,71.09525934368295,0.326974751838628,normal,low
V117,18,18,-1.544609945918525,0.05828111895378689,47.75540441962049,0.193507116150082,normal,low
V141,19,19,-0.384965735455046,0.3156771463121384,52.778899806655154,0.401144026584318,normal,low
V104,20,20,0.198912185900422,-0.4195893511170092,29.110343660430647,0.3862525852756385,normal,low
V109,21,21,0.3443933312720216,0.10874843458754758,32.900514092369065,0.285593800808903,normal,low
V100,22,22,0.1811949600022557,-0.2350645199402412,60.507100064413954,0.06074974748159856,normal,low
V109,23,23,0.17673203865140324,0.5396271162285302,67.01079103052093,0.15493039260711394,normal,low
V102,24,24,-0.05479415555657937,0.29603814744232987,54.25579462558007,0.1090878577628638,normal,low
V135,25,25,0.5618490185250156,-0.23838838143121296,34.70511049680894,0.19595310917919256,normal,low
V118,26,26,-1.5923345372461102,-0.4926218630567662,29.15281211184222,0.2207788972989378,normal,low
V148,27,27,-0.7272903390696543,-0.2491198839641716,32.9054188264625,0.1901564073009804,normal,low
V135,28,28,-1.137088060110936,-0.262376769351597,86.01888333755144,0.42896356664628943,normal,low
V128,29,29,1.594181896082206,-0.1323100551662044,56.92552739925051,0.18386342785427165,normal,low
V126,30,30,-1.189809773807324,0.10928273154191452,23.197516910685295,0.3445519416693479,normal,low
V139,31,31,-0.8157342940922687,0.5190307423011344,43.492622073311345,0.2931886078886309,normal,low
V109,32,32,-1.8659418407213688,0.0511671047650603,20.148682729288396,0.14414149459783113,normal,low
V128,33,33,0.678214370377346,-0.15938296722706044,79.62220880419913,0.09772967205451472,normal,low
V133,34,34,1.2139633766247344,0.44500621072334073,67.4245207663208,0.21244681034231036,normal,low
V132,35,35,-0.6070967263810094,-0.07709026697413084,44.18001245932895,0.05826210884550065,normal,low
V104,36,36,-0.3655661864409655,0.26184219525907143,43.81300306895684,0.1914287710377911,normal,low
V104,37,37,-6.20607954180899,-0.7046353179034877,57.19813865579864,0.8411016438541945,harsh_brake,medium
V104,38,38,0.1641339883175132,-0.22660779724539057,66.76108722798428,0.3296108580121954,normal,low
