vehicle_id,timestamp,acceleration,gyroscope,speed,vibration,latitude,longitude,event_label
V104,2026-03-01 08:00:00,-0.27005712681006644,0.38411427971182316,76.10874056757767,0.43379063914927635,12.886305863422514,77.59636755026744,normal
V123,2026-03-01 08:00:01,-1.1864813387469832,0.11429906831155535,44.874084701226174,0.12567807139315307,12.895975578056245,77.6010772155121,normal
V116,2026-03-01 08:00:02,-1.586699718653528,0.16284825556526897,65.66455843074502,0.1086843546005498,12.915629795901168,77.61119846517587,normal
V118,2026-03-01 08:00:03,0.6551634097652032,-0.005548033610109892,72.36520321377023,0.21710575946642338,12.909589271733934,77.60097801237586,normal
V120,2026-03-01 08:00:04,0.1318445649029247,-0.5034256334795106,55.46542330306598,0.24226667839039448,12.930069913698016,77.59449974234413,normal
V139,2026-03-01 08:00:05,0.3874799984369955,-0.05377621944307364,53.18580711947122,0.1836784607839386,12.898656161571557,77.62613426437808,normal
V118,2026-03-01 08:00:06,0.7345236140069414,0.49146961489265845,44.80561066026271,0.30705545717312693,12.910413958261813,77.62237610121916,normal
V131,2026-03-01 08:00:07,1.4788921061761788,0.20264278814491646,42.70956530811216,0.16896748250908333,12.898178431738051,77.60242275386163,normal
V143,2026-03-01 08:00:08,-0.5533337239460264,0.20205686516684015,24.811284511457256,0.3321696059598196,12.895018525077633,77.59498970157564,normal
V108,2026-03-01 08:00:09,0.24932525999258387,0.016720760682959485,48.72132973790791,0.32497399509962965,12.892803986843761,77.61491784512124,normal
V142,2026-03-01 08:00:10,-0.07730786710674363,-0.8030857575255107,34.64433891579548,0.08853407778948073,12.891134216510554,77.57940154249388,normal
V104,2026-03-01 08:00:11,-0.016967340505875075,0.12249192634738543,47.051492145107225,0.05119772889870805,12.918086091078415,77.61438252489108,normal
V149,2026-03-01 08:00:12,-0.6454199155198521,-0.20285233470626549,66.6400945216823,0.2272200201088293,12.885322403007835,77.59664485621092,normal
V129,2026-03-01 08:00:13,1.7941044620855733,0.04230187398706417,60.654085153146674,0.2885345602011065,12.878202069728086,77.62386099793468,normal
